Continent,Country,Population (in M),Researchers
SAM,AR,,
EUR,AT,9,37107
EUR,AL,,
OCE,AU,24,101376
ASIA,AZ,,
EUR,BA,,
ASIA,BD,,
EUR,BE,11,37785
AFR,BF,,
EUR,BG,10,
SAM,BR,210,145740
NAM,CA,24,102240
EUR,CH,8,27488
SAM,CL,,
AFR,CM,,
ASIA,CN,1382,1480122
SAM,CO,,
NAM,CU,,
EUR,CY,"1,5",
EUR,CZ,11,31746
EUR,DE,81,286092
EUR,DK,6,34020
AFR,DZ,40,6800
AFR,EG,90,
EUR,ES,46,135424
EUR,FI,6,46242
EUR,FR,65,227420
EUR,GB,65,277485
AFR,GH,,
EUR,GR,11,20603
ASIA,HK,7,18550
EUR,HR,4,6056
EUR,HU,,
ASIA,ID,261,53505
EUR,IE,,
ASIA,IL,,
ASIA,IN,1326,181662
ASIA,IR,80,56480
EUR,IT,60,53328
ASIA,IQ,,
ASIA,JO,8,24240
ASIA,JP,,
ASIA,KR,51,235977
ASIA,KZ,,
ASIA,LK,,
EUR,LT,3,7641
EUR,LU,,
EUR,LV,,
AFR,MA,34,21998
ASIA,MD,,
EUR,ME,,
EUR,MK,2,
ASIA,MM,,
AFR,MU,,
NAM,MX,129,45537
ASIA,MY,31,11532
AFR,NG,,
EUR,NL,17,52513
EUR,NO,,
ASIA,NP,,
ASIA,OM,,
ASIA,PS,,
ASIA,PK,,
EUR,PL,39,63297
EUR,PT,10,37990
EUR,RO,,
EUR,RS,9,10764
ASIA,RU,,
ASIA,SA,28,
EUR,SE,,
ASIA,SG,,
EUR,SI,,
EUR,SK,5,11655
ASIA,TH,,
AFR,TN,11,17468
ASIA,TR,80,54400
SAM,TT,,
ASIA,TW,23,57500
NAM,US,324,1510812
SAM,VE,,
ASIA,YE,,
AFR,ZA,,
ASIA,PH,,
ASIA,LB,,
SAM,EC,,
EUR,XK,,
AFR,ET,,
