Country,Authors,Year,Title,Journal or book,Volume,Pages,Theory,Practice,Water,Energy,Financial,Environment,Mining,Industrial,Services/Public,Procurement,Health,Transport,Other
EG,"Abdel-Basset, M., Manogaran, G., Mohamed, M.",2019,A neutrosophic theory based security approach for fog and mobile-edge computing.,Computer Networks,157,122-132.,0,1,0,0,0,0,0,0,0,0,0,0,1
SA,"Abdelhadi, A.",2018,Maintenance scheduling based on PROMETHEE method in conjunction with group technology philosophy.,International Journal of Quality and Reliability Management,35(7),1423-1444.,0,1,0,0,0,0,0,1,0,0,0,0,0
DZ,"Abdelhadi, M., Hamdadou, D., Menni, N.",2018,A communication platform for group decision support system: Based web services and multicriteria method.,International Journal of E-services and Mobile Applications,10(3),19-41.,1,0,0,0,0,0,0,0,0,0,0,0,0
FI,"Abdulai, I., Turunen, E.",2020,A paraconsistent many-valued similarity method for multi-attribute decision making.,Fuzzy Sets and Systems,In Press,.,1,0,0,0,0,0,0,0,0,0,0,0,0
MY,"Abdullah, L., Chan, W., Afshari, A.",2019,Application of PROMETHEE method for green supplier selection: a comparative result based on preference functions.,Journal of Industrial Engineering International,15(2),271-285.,0,1,1,0,0,0,0,0,0,0,0,0,0
IR,"Abed-Elmdoust, A., Kerachian, R.",2014,Evaluating the Relative Power of Water Users in Inter-Basin Water Transfer Systems,Water Resources Management,28(2),495-509.,0,1,1,0,0,0,0,0,0,0,0,0,0
IR,"Abedi, M.",2015,"Reply to the comment by B. Ghobadipour and B. Mojarradi “M. Abedi, S.A. Torabi, G.-H. Norouzi and M. Hamzeh; ELECTRE III: A knowledge-driven method for integration of geophysical data with geological and geochemical data in mineral prospectivity mapping”.",Journal of Applied Geophysics,117,138-140.,1,1,0,0,0,0,1,1,0,0,0,0,0
IR,"Abedi, M., Gholami, A., Norouzi, G.-H.",2013,A stable downward continuation of airborne magnetic data: A case study for mineral prospectivity mapping in Central Iran,Computers & Geosciences,52,269-280.,0,1,0,0,0,0,0,1,0,0,0,0,0
IR,"Abedi, M., Torabi, S.A., Norouzi, G., Hamzeh, M., Elyasi, G.",2012,PROMETHEE II: a knowledge-driven method for copper exploration.,Computers & Geosciences,46, 255-263.,0,1,0,0,0,0,1,1,0,0,0,0,0
PH,"Abellana, D.P.M., Rivero, D.M.C., Aparente, M.E., Rivero, A.",2020,Hybrid SVR-SARIMA model for tourism forecasting using PROMETHEE II as a selection methodology: a Philippine scenario.,Journal of Tourism Futures,in Press,.,0,1,0,0,0,0,0,0,1,0,0,0,0
US,"Abu Taha, R., Daim, T.",2013,"Multi-Criteria Applications in Renewable Energy Analysis, a Literature Review.",Research and Technology Management in the Electricity Industry,ISBN 978-1-4471-5096-1,17-30.,0,1,0,1,0,0,0,0,0,0,0,0,0
JO,"Abu-Taleb, M.F., Deason, J.P., Mareschal, B., Salameh, E.",1992,Multiobjective decision support for water resources planning.,"in Jordan's water resources and their future potential, Eds A. Gärber et E. Salameh, Friedrich Ebert Stiftung",, 79-97.,0,1,1,0,0,1,0,0,0,0,0,0,0
JO,"Abu-Taleb, M.F., Mareschal, B.",1995,Water resources planning in the middle East: Application of the PROMETHEE V multicriteria method., European Journal of Operational Research,81, 500–511.,0,1,1,0,0,1,0,0,0,0,0,0,0
BR,"Acco Tives Leao, H., Canedo, E.D., Costa, P.H.T., Okimoto, M.V., Santos, G.A.",2019,Use of AHP and Promethee for Research Project Portfolio Selection.,Lecture Notes in Computer Science,11619,504-517.,0,1,0,0,0,0,0,0,1,0,0,0,0
GR,"Achillas, C., Moussiopoulos, N., Karagiannidis, A., Banias, G., Perkoulidis, G.",2013,The use of multi-criteria decision analysis to tackle waste management problems: a literature review,Waste Management & Research,31(2),115-129,0,1,0,0,0,1,0,0,0,0,0,0,0
ID,"Adhiana, T.P., Krisnawati, M., Asyari, H.",2019,Supplier Performance Evaluation for Raw Material with Fuzzy PROMETHE Method.,Dinamika Rekayasa,15(2),107-116.,0,1,0,0,0,0,0,0,0,1,0,0,0
IN,"Adhikary, P., Roy, P.K., Mazumdar, A.",2015,Turbine supplier selection for small hydro project: Application of multi-criteria optimization technique.,International Journal of Applied Engineering Research,10(5),13109-13122.,0,1,1,1,0,1,0,0,0,0,0,0,0
ID,"Adhiyani, M., Muliadi, A., Kartini, D.",2016,Preference Ranking Organization Method For Enrichment Evaluation(Promethee) Sebagai Penunjang Keputusan Pemilihan Anggota Bem Fmipa Unlam Banjarbaru.,Kumpulan jurnaL Ilmu Komputer (KLIK),2(2),26-35.,0,1,0,0,0,0,0,0,1,0,0,0,0
CA,"Aenishaenslin, C., Gern, L., Michel, P., Ravel, A., Hongoh, V., Waaub, J.P., Milord, F., Bélanger, D.",2015,Adaptation and Evaluation of a Multi-Criteria Decision Analysis Model for Lyme Disease Prevention.,PLoS One,10(8),15p.,0,1,0,0,0,0,0,0,0,0,1,0,0
CA,"Aenishaenslin, C., Hongoh, V., Cissé, H.D., Gatewood Hoen, A., Samoura, K., Michel, P., Waaub, J.P., Bélanger, D.",2013,Multi-criteria decision analysis as an innovative approach to managing zoonoses: results from a study on Lyme disease in Canada.,BMC Public Health,13,897-.,0,1,0,0,0,0,0,0,0,0,1,0,0
CZ,"Afful-Dadzie, E., Kominkova Oplatkova, Z., Nabareseh, S.",2015,Selecting Start-Up Businesses in a Public Venture Capital Financing using Fuzzy PROMETHEE.,Procedia Computer Science,60,63-72.,0,1,0,0,0,0,0,0,1,0,0,0,0
CZ,"Afful-Dadzie, E., Kominkova Oplatkova, Z., Nabareseh, S., Adu-Kwarteng, M.",2016,Development Aid Decision Making Framework Based on Hybrid MCDM.,Intelligent Decision Technologies 2016,56,255-266.,0,1,0,0,0,0,0,0,1,0,0,0,0
CZ,"Afful-Dadzie, E., Nabareseh, S., Kominkova Oplatkova, Z., Klimek, P.",2016,Using Fuzzy PROMETHEE to Select Countries for Developmental Aid.,Intelligent Systems and Applications,ISBN 3-540-40182-2,109-132.,0,1,0,0,0,0,0,0,1,0,0,0,0
PT,"Afgan, N.H., Carvalho, M.G., Pilavachi, P.A., Martins, N.",2008,Evaluation of natural gas supply options for Southeast and Central Europe: Part 2. Multi-criteria assessment., Energy Conversion & Management,49, 2345–2353.,0,1,0,1,0,0,0,0,0,0,0,0,0
IR,"Afshari, A.R., Anisseh, M., Shahraki, M.R.",2017,Promethee use in personnel selection.,Proceedings of the International Conference on Industrial Engineering and Operations Management,2017,211-217.,0,1,0,0,0,0,0,0,1,0,0,0,0
US,"Agarwal, P., Hunt, K., Zhuang, J., Sarkar, B., Sarkar, A., Sharma, R.",2019,An exploratory analysis for performance assessment of state police forces in india: an eclectic approach.,Operational Research,in Press,.,0,1,0,0,0,0,0,0,1,0,0,0,0
PS,"Agha, S.R., Nofal, L.G., Nassar, H.A.",2012,Multi-criteria governmental crop planning problem based on an integrated AHP-PROMETHEE approach,International Journal of Applied Management Science,4(4),385-406.,0,1,0,0,0,0,0,0,0,0,0,0,1
ID,"Agustina, A., Dwanoko, Y.S., Susanto, G., Kuswinardi, W., Purwanto, H.L., Suprianto, D.",2019,Decision making system vocational high school election using promethee method.,Journal of Physics: Conference Series,1375(1),.,0,1,0,0,0,0,0,0,1,0,0,0,0
ID,"Agustina, F., Ansori, N., Prdana, T.F.A.",2014,Pemetaan Industri Kreatif Dan Penentuan Kompetensi Inti Bangkalan.,Jurnal Teknik Industri,14(2),131-138.,0,1,0,0,0,0,0,1,0,0,0,0,0
IN,"Aherwar, A., Singh, T., Singh, A., Patnaik, A., Fekete, G.",2019,Optimum selection of novel developed implant material using hybrid entropy-PROMETHEE approach.,Materialwissenschaft und Werkstofftechnik,50(10),1232-1241.,0,1,0,0,0,0,0,0,0,0,1,0,0
DE,"Ahlhorn, F.",2009,Anticipating the Future – Available Tools and Instruments.,Long-term Perspective in Coastal Zone Development,ISBN 978-3-642-01773-5,79-121.,0,1,0,0,0,1,0,0,0,0,0,0,0
DE,"Ahlhorn, F.",2018,Prospects: Methodologies of Integration.,Integrated Coastal Zone Management,ISBN 978-3-658-17050-9,163-182.,0,1,0,0,0,0,0,0,0,0,0,0,1
AU,"Ahmad, F.B., Zhang, Z., Doherty, W.O.S., O'Hara, I.M.",2015,A multi-criteria analysis approach for ranking and selection of microorganisms for the production of oils for biodiesel production.,Bioresource Technology,190,264-273.,0,1,0,1,0,1,0,0,0,0,0,0,0
PK,"Ahmad, H.W., Ali, Q., Kazmi, S.A.A.",2019,Optimal Placement and Sizing of Distributed Generator in Meshed Distribution System.,ICECE 2019,2019,.,0,1,0,0,0,0,0,0,0,0,0,0,1
ID,"Ahmadi, A., Herdiawan, D.",2021,The implementation of BORDA and PROMETHEE for decision making of Naval base selection.,Decision Science Letters,10,129-138.,0,1,0,0,0,0,0,0,1,1,0,0,0
TW,"Ahmadi, H.B., Lo, H-W., Gupta, H., Kusi-Sarpong, S., Liou, J.J.H.",2020,An integrated model for selecting suppliers on the basis of sustainability innovation.,Journal of Cleaner Production,277,.,0,1,0,0,0,1,0,0,0,1,0,0,0
MY,"Ahmed, F.D., Majid, M.A.",2018,Towards agent-based petri net decision making modelling for cloud service composition: A literature survey.,Journal of Network and Computer Applications,in Press,.,1,1,0,0,0,0,0,0,1,0,0,0,0
ID,"Aini, Q., Hidayah, N.A., Istiqomah, A.N.",2019,Scholarship Decision Support System Using Preference Ranking Organization Method for Enrichment Evaluation.,6th International Conference on Cyber and IT Service Management,2018,.,0,1,0,0,0,0,0,0,1,0,0,0,0
ID,"Aji, D.L., Suryono, S., Widodo, C.E.",2018,Implementation of Online Promethee Method for Poor Family Change Rate Calculation.,E3S Web of Conferences,31,.,0,1,0,0,0,0,0,0,1,0,0,0,0
IR,"Akbari, M., Memarian, H., Neamatollahi, E., Jafari Shalamari, M., Alizadeh Noughani, M, Zakeri, D.",2020,Prioritizing policies and strategies for desertification risk management using MCDM–DPSIR approach in northeastern Iran.,"Environment, Development and sustainability",in Press,.,0,1,0,0,0,1,0,0,0,0,0,0,0
TR,"Akbulut, R., Rençber, O.F., Sen, B.",2016,Analysis of Venture Capital Investment Trust Incorporations' Performances According to Profitabilities.,Balikesir University Journal of Social Sciences Institute,19(36),273-290.,0,1,0,0,1,0,0,0,0,0,0,0,0
TR,"Akin, Y., Dikkollu, C., Kaplan, B.B., Yayan, U., Yolacan, E.N.",2019,Ethereum Blockchain Network-based Electrical Vehicle Charging Platform with Multi-Criteria Decision Support System.,IISEC 2019,2019,.,0,1,0,0,0,0,0,0,1,0,0,0,0
TR,"Akincilar, A., Dagdeviren, M.",2014,A hybrid multi-criteria decision making model to evaluate hotel websites., International Journal of Hospital Management,36, 263–271.,0,1,0,0,0,0,0,0,1,0,0,0,0
NG,"Akinyele, D., Olatomiwa, L., Ighravwe, D., Babatunde, O., Monyei, C., Onile, A.",2019,Evaluation of Solar PV Microgrid Deployment Sustainability in Rural Areas: A fuzzy STEEP Approach.,PowerAfrica 2019,2019,593-598.,0,1,0,1,0,0,0,0,0,0,0,0,0
TR,"Akkaya, G.C., Demireli, E.",2010,PROMETHEE ORDERING METHOD ON FINANCIAL DECISION PROCESS.,Ege Academic Review,10(3),845-854.,0,1,0,0,1,0,0,0,0,0,0,0,0
TR,"Akkaya, G.C., Uzar, C.",2013,THE USAGE OF MULTIPLE-CRITERIA DECISION MAKING TECHNIQUES ON PROFITABILITY AND EFFICIENCY: AN APPLICATION OF PROMETHEE.,International Journal of Economis and Finance Studies,5(1),.,0,1,0,0,1,0,0,0,0,0,0,0,0
PK,"Akram, M., Shumaiza, ., Al-Kenani, A.N.",2020,Multi-criteria group decision-making for selection of green suppliers under bipolar fuzzy PROMETHEE process.,Symmetry,12(1),.,0,1,0,0,0,0,0,0,0,1,0,0,0
IN,"Akshya Kaveri, B., Gireesha, O., Somu, N., Gauthama Raman, M.R., Shankar Sriram, V.S.",2018,E-FPROMETHEE: An Entropy Based Fuzzy Multi Criteria Decision Making Service Ranking Approach for Cloud Service Selection.,ICIIT 2017. Communications in Computer and Information Science,808,224-238.,0,1,0,0,0,0,0,0,1,0,0,0,0
SA,"Al-Alawi, B.M., Coker, A.D.",2018,Multi-criteria decision support system with negotiation process for vehicle technology selection.,Energy,157,278-296.,0,1,0,0,0,0,0,0,0,0,0,1,0
IR,"Albadvi, A.",2004,Formulating national information technology strategies: A preference ranking model using PROMETHEE method., European Journal of Operational Research,153, 290–296.,0,1,0,0,0,0,0,0,0,0,0,0,1
IR,"Albadvi, A., Chaharsooghi, S.K., Esfahanipour, A.",2007,Decision making in stock trading: An application of PROMETHEE., European Journal of Operational Research,177, 673–683.,0,1,0,0,1,0,0,0,0,0,0,0,0
IR,"Albadvi, A., Sharifi, S.A., Saremi, H.Q.",2007,"Application of ""PROMETHEE"" for market targeting: A case study on the TV market in Iran.",Scientia Iranica,14(3),221-229.,0,1,0,0,0,0,0,0,1,0,0,0,0
BR,"Albuquerque, F.S., Nunez, W.P.",2010,Criteria for decision making in sustainable road works.,Ambiente Construido,10(3),151-163.,0,1,0,0,0,0,0,0,0,0,0,1,0
BR,"Albuquerque, P.H.M., Monteiro, G.",2020,RMCriteria: a decision making support system package for R.,Communications in Statistics: Simulation and Computation,in Press,.,1,0,0,0,0,0,0,0,0,0,0,0,0
ID,"Aldrin Wiguna, K., Sarno, R., Ariyani, N.F.",2017,Optimization Solar Farm site selection using Multi-Criteria Decision Making Fuzzy AHP and PROMETHEE: Case study in Bali.,2016 International Conference on Information and Communication Technology and Systems,2016,237-243.,0,1,0,1,0,0,0,0,0,0,0,0,0
BR,"Alencar, L., Almeida, A.",2010,A model for selecting project team members using multicriteria group decision making.,Pesquisa Operacional,30(1),.,0,1,0,0,0,0,0,0,1,0,0,0,0
BR,"Alencar, L., Almeida, A.",2011,Supplier Selection Based on the PROMETHEE VI Multicriteria Method., Lecture Notes in Computer Science,6576,608-618.,0,1,0,0,0,0,0,0,0,1,0,0,0
FR,"Alfandari, L.",2004,Choice Rules with Size Constraints for Multiple Criteria Decision Making., ESSEC Working Paper DR 04002,, 18p.,1,0,0,0,0,0,0,0,0,0,0,0,0
SA,"Alhumaid, M., Ghumman, A.R., Haider, H., Al-Salamh, I.S., Ghazaw, Y.M.",2018,Sustainability Evaluation Framework of Urban Stormwater Drainage Options for Arid Environments Using Hydraulic Modeling and Multicriteria Decision-Making.,Water,10(5),.,0,1,1,0,0,0,0,0,0,0,0,0,0
SA,"Alhumid, H.A., Haider, H., Al Saleem, S.S., Shafiquzamman, Md., Sadiq, R.",2019,Performance indicators for municipal solid waste management systems in Saudi Arabia: selection and ranking using fuzzy AHP and PROMETHEE II.,Arabian Journal of Geosciences,12(15),.,0,1,0,0,0,0,0,0,1,0,0,0,0
PK,"Ali, M., Ahmed, A.B., Ullah, K., Khan, A.",2020,Multiple-Criteria Policy Anaysis of Circular Debt in Pakistan.,ICEET 2020,2020,.,0,1,0,0,1,0,0,0,0,0,0,0,0
IR,"Alimohammadlou, M., Bonyani, A.",2017,A novel hybrid MCDM model for financial performance evaluation in Iran's food industry.,Accounting and Financial Control,1(2),38-45.,0,1,0,0,1,0,0,0,0,0,0,0,0
IR,"Alinezhad, A., Khalili, J.",2019,PROMETHEE I-II-III Methods.,International Series in Operations Research and Management Science,277,29-39.,1,0,0,0,0,0,0,0,0,0,0,0,0
